OBS,WP4,WP3,WP2,D8,D9,MARGIN1,MARGIN2,MARGIN3,MARGIN4,MFR1,MFR2,MFR3,MFR4,PRICE1,PRICE2,PRICE3,PRICE4,PROMO11,PROMO12,PROMO13,PROMO14,PROMO21,PROMO22,PROMO23,PROMO24,RET,S10,S11,S12,S13,S2,S3,S4,S5,S6,S7,S8,S9,VOL1,VOL2,VOL3,VOL4,WEEK,WP1,D7,D6,D5,D4,D3,D2,D10,D1,CSALES
12/21/1989,0.212255918,0.173917004,0.294710399,0,0,0.171271761,0.283695856,0.367243373,0.323111522,105895.902,80634.65138,26935.15257,45664.56838,0.293476415,0.411431934,0.274856077,0.313575906,0.121,0,0,0.136,0.181,0,0,0,91251.77154,0,0,0,1,0,0,0,0,0,0,0,0,435405.4,273606.4,154873.6,215139.2,15,0.243212193,0,0,0,1,0,0,0,0,1079024.6
12/28/1989,0.220059486,0.176120885,0.293808357,0,0,0.304073537,0.256267147,0.342521535,0.297484285,39512.12568,109738.5964,29156.60109,55109.40906,0.334352283,0.395045554,0.267873237,0.31324493,0.154,0,0,0.158,0,0,0,0,93602.55191,0,0,0,1,0,0,0,0,0,0,0,0,169809.8,373504,165548.8,250429.6,16,0.232684602,0,0,0,1,0,0,0,0,959292.2
1/04/1990,0.20668531,0.173094346,0.283512769,0,0,0.304105803,0.303660925,0.338458905,0.328790827,35970.98673,75130.88368,23007.97736,83517.89617,0.334377688,0.407147579,0.261653202,0.307929805,0.06,0,0,0.105,0,0,0,0.064,101165.0515,0,0,0,0,0,0,0,0,0,0,0,0,154586.6,265000,132921.6,404082.4,17,0.232691493,0,0,0,0,0,0,0,0,956590.6
1/11/1990,0.226963732,0.169698564,0.257371904,0,0,0.299409087,0.221408996,0.344408489,0.301382256,34820.04215,141223.8759,17286.98907,46737.27947,0.341355573,0.330561107,0.258848019,0.324875418,0.113,0.13,0,0.036,0,0.068,0,0,84284.86183,0,0,0,0,0,0,0,0,0,0,0,0,145598.8,548715.2,101868.8,205924,18,0.239150612,0,0,0,0,0,0,0,0,1002106.8
1/18/1990,0.219030546,0.167660087,0.290450968,0,0,0.296269925,0.256983053,0.380325082,0.32923754,30399.81967,110059.0749,28937.32631,53838.40906,0.336661582,0.390907595,0.270561358,0.32653966,0.109,0.264,0,0.069,0,0.135,0,0,95050.16237,0,0,0,0,0,0,0,0,0,0,0,0,128313.2,378924.8,172595.2,245803.2,19,0.23691888,0,0,0,0,0,0,1,0,925636.4
1/25/1990,0.215906551,0.167554776,0.291660918,0,0,0.317016946,0.335116648,0.128468703,0.321609978,32630.27088,69052.7057,127108.9297,71557.99454,0.375546947,0.438664793,0.192253309,0.318263158,0,0.135,0,0.226,0,0,0,0,102610.6776,0,0,0,0,0,0,0,0,0,0,0,0,127217.4,236756.8,758611.2,331430.4,20,0.256492201,0,0,0,0,0,0,1,0,1454015.8
2/01/1990,0.223804153,0.168634099,0.311072479,0,0,0.166848229,0.283857012,0.19509239,0.287755765,103826.5341,63184.04644,37238.72601,49619.17105,0.284233754,0.434372023,0.209507397,0.314223888,0,0,0,0.24,0.233,0.07,0.244,0,74909.31656,0,0,0,0,1,0,0,0,0,0,0,0,438438.4,203116.8,220825.6,221708,21,0.236809855,0,0,0,0,0,0,0,0,1084088.8
2/08/1990,0.235047257,0.19308115,0.24169355,0,0,0.381940156,0.164282024,0.286335235,0.314984072,21661.10604,141639.7678,23258.70975,35537.82895,0.363957667,0.28920468,0.270548805,0.343126703,0.048,0.331,0,0.069,0,0,0,0,66901.62307,0,0,0,0,1,0,0,0,0,0,0,0,96294,586030.4,120460.8,151194.4,22,0.224947619,0,0,0,0,0,0,0,0,953979.6
2/15/1990,0.261817358,0.192011661,0.300876725,0,0,0.376755333,0.370319518,0.346403624,0.172906539,30955.53947,79854.60836,23563.67105,113139.6587,0.37752528,0.477824442,0.29377712,0.316551116,0.052,0,0,0.145,0,0,0,0.036,101816.7407,0,0,0,0,1,0,0,0,0,0,0,0,131563,265406.4,122720,432132,23,0.235290617,0,1,0,0,0,0,0,0,951821.4
2/22/1990,0.235942795,0.21344426,0.325564611,0,0,0.381584983,0.22202981,0.274628916,0.308881943,34483.2531,113580.3769,27017.60372,49809.03406,0.392463183,0.418479545,0.294255264,0.341392896,0.117,0,0,0.144,0,0.071,0,0,86183.04721,0,0,0,0,1,0,0,0,0,0,0,0,142078.8,348872,126579.2,211106.4,24,0.242705126,0,1,0,0,0,0,0,0,828636.4
3/01/1990,0.263051682,0.214050326,0.316498804,0,0,0.340734099,0.308258076,0.304310454,0.208077544,33194.20154,63600.05483,27008.0139,96223.04247,0.39055178,0.457538849,0.307680814,0.332168484,0,0,0,0.107,0,0,0,0.036,82594.38919,0,0,0,0,0,1,0,0,0,0,0,0,128920.8,200948.8,126176,365795.2,25,0.257477471,0,1,0,0,0,0,0,0,821840.8
